# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   3374 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   3374 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   3374 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   3374 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    28.65    0.00    0.00       0    29.71    0.00    0.00       0
          64            16     float     sum      -1    31.99    0.00    0.00       0    32.01    0.00    0.00       0
         512           128     float     sum      -1    32.31    0.02    0.02       0    31.74    0.02    0.02       0
        4096          1024     float     sum      -1    32.40    0.13    0.19       0    31.94    0.13    0.19       0
       32768          8192     float     sum      -1    42.05    0.78    1.17       0    41.31    0.79    1.19       0
      262144         65536     float     sum      -1   220.62    1.19    1.78       0   206.21    1.27    1.91       0
     2097152        524288     float     sum      -1  1331.79    1.57    2.36       0  1341.82    1.56    2.34       0
    16777216       4194304     float     sum      -1  10340.0    1.62    2.43       0  10451.9    1.61    2.41       0
   134217728      33554432     float     sum      -1  84214.3    1.59    2.39       0  83678.2    1.60    2.41       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.15719 
#
# Collective test concluded: all_reduce_perf
#

