# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   3906 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   3906 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   3906 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   3906 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    44.87    0.00    0.00       0    45.22    0.00    0.00       0
          64            16     float     sum      -1    45.16    0.00    0.00       0    44.77    0.00    0.00       0
         512           128     float     sum      -1    44.76    0.01    0.02       0    44.96    0.01    0.02       0
        4096          1024     float     sum      -1    46.75    0.09    0.13       0    46.66    0.09    0.13       0
       32768          8192     float     sum      -1    70.44    0.47    0.70       0    70.60    0.46    0.70       0
      262144         65536     float     sum      -1   396.40    0.66    0.99       0   396.18    0.66    0.99       0
     2097152        524288     float     sum      -1  1705.07    1.23    1.84       0  1599.08    1.31    1.97       0
    16777216       4194304     float     sum      -1  13247.1    1.27    1.90       0  13226.0    1.27    1.90       0
   134217728      33554432     float     sum      -1   116788    1.15    1.72       0   117129    1.15    1.72       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 0.818776 
#
# Collective test concluded: all_reduce_perf
#

