# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   2373 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   2373 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   2373 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   2373 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    34.64    0.00    0.00       0    30.09    0.00    0.00       0
          64            16     float     sum      -1    29.48    0.00    0.00       0    29.53    0.00    0.00       0
         512           128     float     sum      -1    30.15    0.02    0.03       0    29.34    0.02    0.03       0
        4096          1024     float     sum      -1    29.59    0.14    0.21       0    22.75    0.18    0.27       0
       32768          8192     float     sum      -1    35.41    0.93    1.39       0    31.37    1.04    1.57       0
      262144         65536     float     sum      -1   192.02    1.37    2.05       0   172.98    1.52    2.27       0
     2097152        524288     float     sum      -1  1406.37    1.49    2.24       0  1420.03    1.48    2.22       0
    16777216       4194304     float     sum      -1  11284.1    1.49    2.23       0  11096.9    1.51    2.27       0
   134217728      33554432     float     sum      -1  97415.7    1.38    2.07       0  96790.4    1.39    2.08       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.16162 
#
# Collective test concluded: all_reduce_perf
#

