schema_version,experiment_id,phase,timestamp,value_kind,git_commit,git_dirty,provider,provider_instance_id,hostname,os,kernel,cpu_model,cpu_cores,node_count,gpu_model,gpu_count,topology_summary,network,nvlink_present,p2p_enabled,cuda_version,driver_version,nccl_version,nccl_version_source,mpi_version,compiler_version,nccl_tests_commit,benchmark_tool,collective,datatype,redop,root,message_size_bytes,count_elements,placement,warmup_iterations,measured_iterations,repeat_index,tier,latency_us,algorithmic_bandwidth_gbps,bus_bandwidth_gbps,wrong_count,correctness_ok,out_of_bounds_ok,bandwidth_ratio_ok,exit_code,command,raw_output_path,notes,gpus,topology,env
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:24Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_reduce,float,sum,-1,8,2,out_of_place,5,20,0,smoke,7.11,0.0,0.0,0,True,True,,0,/root/nccl-tests/build/all_reduce_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_reduce.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:24Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_reduce,float,sum,-1,8,2,in_place,5,20,0,smoke,6.99,0.0,0.0,0,True,True,,0,/root/nccl-tests/build/all_reduce_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_reduce.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:24Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_reduce,float,sum,-1,32768,8192,out_of_place,5,20,0,smoke,12.25,2.68,2.68,0,True,True,True,0,/root/nccl-tests/build/all_reduce_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_reduce.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:24Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_reduce,float,sum,-1,32768,8192,in_place,5,20,0,smoke,12.24,2.68,2.68,0,True,True,True,0,/root/nccl-tests/build/all_reduce_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_reduce.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:24Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_reduce,float,sum,-1,134217728,33554432,out_of_place,5,20,0,smoke,12182.9,11.02,11.02,0,True,True,True,0,/root/nccl-tests/build/all_reduce_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_reduce.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:24Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_reduce,float,sum,-1,134217728,33554432,in_place,5,20,0,smoke,12182.0,11.02,11.02,0,True,True,True,0,/root/nccl-tests/build/all_reduce_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_reduce.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:26Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_gather,float,none,-1,0,0,out_of_place,5,20,0,smoke,0.23,0.0,0.0,0,True,True,,0,/root/nccl-tests/build/all_gather_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_gather.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:26Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_gather,float,none,-1,0,0,in_place,5,20,0,smoke,0.22,0.0,0.0,0,True,True,,0,/root/nccl-tests/build/all_gather_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_gather.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:26Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_gather,float,none,-1,32768,4096,out_of_place,5,20,0,smoke,9.4,3.49,1.74,0,True,True,True,0,/root/nccl-tests/build/all_gather_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_gather.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:26Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_gather,float,none,-1,32768,4096,in_place,5,20,0,smoke,9.35,3.5,1.75,0,True,True,True,0,/root/nccl-tests/build/all_gather_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_gather.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:26Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_gather,float,none,-1,134217728,16777216,out_of_place,5,20,0,smoke,6428.35,20.88,10.44,0,True,True,True,0,/root/nccl-tests/build/all_gather_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_gather.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:26Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,all_gather,float,none,-1,134217728,16777216,in_place,5,20,0,smoke,6409.29,20.94,10.47,0,True,True,True,0,/root/nccl-tests/build/all_gather_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/all_gather.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
1,p1-nccl-baseline-20260826T181721Z-16cea6a,phase1,2026-08-26T18:17:27Z,measured,16cea6aed21d649453b65981c72d4b8ea7e32605,False,unknown,,5c44f3e9a47e,Ubuntu 24.04.3 LTS,6.8.0-106-generic,AMD EPYC 9254 24-Core Processor,48,1,NVIDIA L4,2,NODE,none-single-node,False,,12.8,580.126.20,2.25.1+cuda12.8,NCCL_DEBUG=VERSION banner,,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,717b68318278e93f371d8ffb46b076069d7c7851,nccl-tests,reduce_scatter,float,sum,-1,0,0,out_of_place,5,20,0,smoke,0.26,0.0,0.0,0,True,True,,0,/root/nccl-tests/build/reduce_scatter_perf -b 8 -e 128M -f 4096 -g 2 -w 5 -n 20 -c 1 -d float,results/raw/p1-nccl-baseline-20260826T181721Z-16cea6a/reduce_scatter.smoke.r0.stdout.txt,,"[{""index"":0,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:03:00.0""},{""index"":1,""memory_total_mib"":23034,""name"":""NVIDIA L4"",""pci_bus_id"":""00000000:C3:00.0""}]","""\t\u001b[4mGPU0\tGPU1\tNIC0\tCPU Affinity\tNUMA Affinity\tGPU NUMA ID\u001b[0m\nGPU0\t X \tNODE\tNODE\t0-47\t0\t\tN/A\nGPU1\tNODE\t X \tNODE\t0-47\t0\t\tN/A\nNIC0\tNODE\tNODE\t X \t\t\t\t\n\nLegend:\n\n  X    = Self\n  SYS  = Connection traversing PCIe as well as the SMP interconnect between NUMA nodes (e.g., QPI/UPI)\n  NODE = Connection traversing PCIe as well as the interconnect between PCIe Host Bridges within a NUMA node\n  PHB  = Connection traversing PCIe as well as a PCIe Host Bridge (typically the CPU)\n  PXB  = Connection traversing multiple PCIe bridges (without traversing the PCIe Host Bridge)\n  PIX  = Connection traversing at most a single PCIe bridge\n  NV#  = Connection traversing a bonded set of # NVLinks\n\nNIC Legend:\n\n  NIC0: mlx5_bond_0""","{""CUDA_HOME"":""/usr/local/cuda"",""NCCL_TESTS_DIR"":""/root/nccl-tests""}"
